Timestamp,Temperature,Humidity,Wind_Speed_kmh,Soil_Moisture,Soil_Temperature,Wind_Dir_Sin,Wind_Dir_Cos,Precipitation_log,ts_unix,ts_norm,hour_sin,hour_cos,doy_sin,doy_cos,dow_sin,dow_cos,delta_t,delta_t_norm
2024-06-12 13:00:00,3.496,81.333,1.52,8546.667,4.785,-0.9989168406483252,0.04653112366114121,0.0,1718197200,-1.302298811569034,-0.2588190451025208,-0.9659258262890683,0.30423804527648685,-0.9525960381013256,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 13:30:00,4.015,81.367,1.383,8541.333,5.223,0.8703556959398997,-0.492423560103467,0.0,1718199000,-1.3016384166341612,-0.38268343236508967,-0.9238795325112868,0.303896396870266,-0.9527050855166408,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 14:00:00,5.236,78.55,0.457,8530.667,6.683,0.10162929054275584,0.9948223395681141,0.0,1718200800,-1.3009780216992886,-0.4999999999999997,-0.8660254037844388,0.30355470937841805,-0.9528140103998178,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 14:30:00,7.24,69.883,0.708,8506.667,7.705,-0.25038000405444155,-0.9681476403781077,0.0,1718202600,-1.3003176267644156,-0.6087614290087207,-0.7933533402912352,0.30321298284489046,-0.9529228127368471,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 15:00:00,8.755,62.817,0.5,8493.333,8.257,0.020366584105688715,-0.9997925796143248,0.0,1718204400,-1.299657231829543,-0.7071067811865471,-0.7071067811865479,0.302871217313633,-0.9530314925137354,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 15:30:00,9.846,59.1,0.748,8482.667,9.067,-0.848048096156426,-0.529919264233205,0.0,1718206200,-1.2989968368946703,-0.7933533402912349,-0.6087614290087209,0.3025294128286028,-0.9531400497165046,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 16:00:00,11.041,55.05,1.137,8456.0,10.14,0.7152903566910455,-0.6988273789891156,0.0,1718208000,-1.2983364419597976,-0.8660254037844384,-0.5000000000000004,0.30218756943376013,-0.9532484843311928,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 16:30:00,12.376,52.9,1.187,8442.667,10.777,-0.023263140184700073,-0.9997293765358438,0.0,1718209800,-1.297676047024925,-0.9238795325112868,-0.3826834323650895,0.301845687173072,-0.9533567963438536,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 17:00:00,12.389,54.067,0.808,8432.0,11.34,0.03489949670250114,-0.9993908270190958,0.0,1718211600,-1.297015652090052,-0.9659258262890683,-0.25881904510252063,0.30150376609050833,-0.9534649857405567,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 17:30:00,13.207,53.15,1.02,8416.0,12.685,0.6179556717330086,-0.7862129404766919,0.0,1718213400,-1.2963552571551793,-0.9914448613738104,-0.13052619222005163,0.301161806230047,-0.9535730525073869,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 18:00:00,13.307,52.767,0.958,8426.667,13.402,0.5616069204353568,-0.8274041738588915,0.0,1718215200,-1.2956948622203066,-1.0,-1.8369701987210297e-16,0.30081980763566796,-0.9536809966304455,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 18:30:00,14.373,50.0,1.47,8421.333,15.505,0.5877852522924732,-0.8090169943749473,0.0,1718217000,-1.295034467285434,-0.9914448613738105,0.13052619222005127,0.3004777703513572,-0.9537888180958493,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 19:00:00,16.03,47.35,1.963,8400.0,20.108,0.3826834323650899,-0.9238795325112867,0.0,1718218800,-1.294374072350561,-0.9659258262890684,0.2588190451025203,0.30013569442110727,-0.9538965168897304,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 19:30:00,17.303,43.483,1.243,8416.0,19.88,0.47971821789617286,-0.8774226070819694,0.0,1718220600,-1.2937136774156883,-0.923879532511287,0.38268343236508917,0.2997935798889128,-0.9540040929982376,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 20:00:00,16.373,45.517,0.92,8466.667,18.295,0.4949582904440756,-0.8689167340549255,0.0,1718222400,-1.2930532824808156,-0.8660254037844386,0.5000000000000001,0.299451426798775,-0.954111546407535,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 20:30:00,16.296,43.85,1.062,8464.0,18.578,0.41203922092428935,-0.9111661102236543,0.0,1718224200,-1.292392887545943,-0.7933533402912357,0.6087614290087199,0.2991092351947011,-0.954218877103802,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 21:00:00,20.142,36.3,2.05,8376.0,26.162,0.6904658973235998,-0.7233649456761893,0.0,1718226000,-1.2917324926110703,-0.7071067811865477,0.7071067811865474,0.2987670051207008,-0.9543260850732349,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 21:30:00,19.145,36.0,1.533,8458.667,19.057,0.4513915584023975,-0.892325983597393,0.0,1718227800,-1.2910720976761973,-0.6087614290087209,0.7933533402912349,0.29842473662079044,-0.9544331703020447,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 22:00:00,17.269,38.917,0.758,8501.333,17.317,0.49242356010346716,-0.8703556959398997,0.0,1718229600,-1.2904117027413247,-0.5000000000000004,0.8660254037844384,0.29808242973899124,-0.9545401327764587,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 22:30:00,16.91,39.1,1.075,8490.667,17.022,0.5495041173904501,-0.8354910083124428,0.0,1718231400,-1.289751307806452,-0.38268343236508956,0.9238795325112868,0.29774008451932776,-0.9546469724827202,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 23:00:00,16.735,40.517,1.065,8493.333,16.873,0.40673664307580043,-0.9135454576426008,0.0,1718233200,-1.2890909128715793,-0.25881904510252157,0.9659258262890681,0.297397701005832,-0.9547536894070877,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-12 23:30:00,17.205,39.1,1.358,8482.667,16.663,0.45399049973954686,-0.8910065241883678,0.0,1718235000,-1.2884305179367066,-0.13052619222005168,0.9914448613738104,0.2970552792425396,-0.9548602835358359,0.9749279121818236,-0.22252093395631434,1800.0,0.013807887937845714
2024-06-13 00:00:00,17.516,37.033,1.672,8474.667,15.932,0.44098899586817825,-0.8975125099535805,0.0,1718236800,-1.2877701230018337,0.0,1.0,0.29671281927349075,-0.9549667548552551,0.43388373911755823,-0.900968867902419,1800.0,0.013807887937845714
2024-06-13 00:30:00,16.644,40.4,1.303,8480.0,14.997,0.5224985647159489,-0.8526401643540922,0.0,1718238600,-1.287109728066961,0.13052619222005157,0.9914448613738104,0.29637032114273,-0.9550731033516519,0.43388373911755823,-0.900968867902419,1800.0,0.013807887937845714
2024-06-13 01:00:00,16.522,38.65,0.883,8474.667,14.848,0.44098899586817825,-0.8975125099535805,0.0,1718240400,-1.2864493331320883,0.25881904510252074,0.9659258262890683,0.2960277848943094,-0.9551793290113477,0.43388373911755823,-0.900968867902419,1800.0,0.013807887937845714
2024-06-13 01:30:00,16.014,39.05,0.283,8477.333,14.132,0.339279772451312,-0.9406855138702764,0.0,1718242200,-1.2857889381972156,0.3826834323650898,0.9238795325112867,0.29568521057228314,-0.9552854318206808,0.43388373911755823,-0.900968867902419,1800.0,0.013807887937845714
2024-06-13 02:00:00,14.744,49.233,0.03,8490.667,13.153,0.9894424817435786,0.14492610296667752,0.0,1718244000,-1.2851285432623427,0.49999999999999994,0.8660254037844387,0.2953425982207116,-0.9553914117660046,0.43388373911755823,-0.900968867902419,1800.0,0.013807887937845714
2024-06-13 02:30:00,12.917,58.133,1.368,8501.333,12.142,0.3692115540311673,0.9293453762567986,0.0,1718245800,-1.28446814832747,0.6087614290087207,0.7933533402912352,0.2949999478836605,-0.9554972688336882,0.43388373911755823,-0.900968867902419,1800.0,0.013807887937845714
2024-06-13 03:00:00,11.63,62.117,1.945,8525.333,11.267,-0.6087614290087207,-0.7933533402912352,0.0,1718247600,-1.2838077533925973,0.7071067811865475,0.7071067811865476,0.29465725960519845,-0.9556030030101176,0.43388373911755823,-0.900968867902419,1800.0,0.013807887937845714
2024-06-13 03:30:00,10.533,64.167,2.11,8514.667,10.4,-0.6777362769886662,0.7353050651624412,0.0,1718249400,-1.2831473584577247,0.7933533402912352,0.6087614290087207,0.2943145334294015,-0.955708614281693,0.43388373911755823,-0.900968867902419,1800.0,0.013807887937845714
2024-06-13 04:00:00,9.602,67.4,2.162,8538.667,9.628,-0.7050427764731599,0.7091647786960502,0.0,1718251200,-1.282486963522852,0.8660254037844386,0.5000000000000001,0.29397176940034947,-0.9558141026348312,0.43388373911755823,-0.900968867902419,1800.0,0.013807887937845714
2024-06-13 04:30:00,9.158,64.9,2.507,8514.667,9.225,-0.6841271366212124,0.7293627773189835,0.0,1718253000,-1.281826568587979,0.9238795325112867,0.38268343236508984,0.2936289675621256,-0.9559194680559656,0.43388373911755823,-0.900968867902419,1800.0,0.013807887937845714
2024-06-13 05:00:00,10.128,55.333,2.687,8525.333,9.743,-0.604140246307617,0.7968780099810584,0.0,1718254800,-1.2811661736531064,0.9659258262890683,0.25881904510252074,0.2932861279588206,-0.9560247105315439,0.43388373911755823,-0.900968867902419,1800.0,0.013807887937845714
2024-06-13 05:30:00,10.513,52.6,2.625,8514.667,9.697,-0.4848096202463369,0.8746197071393959,0.0,1718256600,-1.2805057787182337,0.9914448613738104,0.1305261922200517,0.29294325063452886,-0.9561298300480304,0.43388373911755823,-0.900968867902419,1800.0,0.013807887937845714
2024-06-13 06:00:00,10.816,45.683,2.267,8506.667,9.962,-0.594822786751341,0.8038568606172175,0.0,1718258400,-1.279845383783361,1.0,6.123233995736766e-17,0.2926003356333482,-0.9562348265919057,0.43388373911755823,-0.900968867902419,1800.0,0.013807887937845714
2024-06-13 06:30:00,10.453,56.2,0.947,8498.667,9.763,0.9182184111634075,-0.39607442406768395,0.0,1718260200,-1.2791849888484883,0.9914448613738104,-0.1305261922200516,0.2922573829993839,-0.9563397001496652,0.43388373911755823,-0.900968867902419,1800.0,0.013807887937845714
2024-06-13 07:00:00,9.339,61.733,0.655,8493.333,8.992,0.040707280502368035,-0.9991711151319885,0.0,1718262000,-1.2785245939136154,0.9659258262890683,-0.25881904510252063,0.29191439277674486,-0.9564444507078205,0.43388373911755823,-0.900968867902419,1800.0,0.013807887937845714
2024-06-13 07:30:00,8.379,65.067,2.088,8498.667,8.338,-0.945518575599317,0.3255681544571563,0.0,1718263800,-1.2778641989787427,0.9238795325112868,-0.3826834323650895,0.29157136500954384,-0.9565490782528994,0.43388373911755823,-0.900968867902419,1800.0,0.013807887937845714
2024-06-13 08:00:00,7.772,66.033,1.843,8506.667,7.973,-0.28958312542240616,0.9571528683917689,0.0,1718265600,-1.27720380404387,0.8660254037844387,-0.4999999999999998,0.29122829974190023,-0.956653582771445,0.43388373911755823,-0.900968867902419,1800.0,0.013807887937845714
2024-06-13 08:30:00,7.176,68.333,1.845,8498.667,7.495,-0.6472289376308953,0.7622956790466431,0.0,1718267400,-1.2765434091089973,0.7933533402912352,-0.6087614290087207,0.290885197017936,-0.9567579642500168,0.43388373911755823,-0.900968867902419,1800.0,0.013807887937845714
2024-06-13 09:00:00,6.47,68.567,2.017,8506.667,6.85,-0.3907311284892739,0.9205048534524403,0.0,1718269200,-1.2758830141741244,0.7071067811865476,-0.7071067811865475,0.2905420568817812,-0.9568622226751894,0.43388373911755823,-0.900968867902419,1800.0,0.013807887937845714
2024-06-13 09:30:00,5.888,68.717,2.332,8501.333,6.405,-0.9416645415760907,0.33655295443405486,0.0,1718271000,-1.2752226192392517,0.6087614290087209,-0.793353340291235,0.29019887937756733,-0.9569663580335539,0.43388373911755823,-0.900968867902419,1800.0,0.013807887937845714
2024-06-13 10:00:00,5.637,67.9,2.418,8504.0,6.132,-0.45916128516697946,0.8883529221001121,0.0,1718272800,-1.274562224304379,0.49999999999999994,-0.8660254037844387,0.28985566454943307,-0.9570703703117167,0.43388373911755823,-0.900968867902419,1800.0,0.013807887937845714
