Timestamp,Temperature,Humidity,Precipitation,Wind_Speed_kmh,Soil_Moisture,Soil_Temperature,Wind_Dir_Sin,Wind_Dir_Cos,hour_sin,hour_cos
2024-09-18 16:20:12,9.391748,89.581154,0.022385541,0.056372948,8327.352,8.199641,-0.07780492,-0.1776793,0,0
2024-09-18 17:20:12,9.405311,89.735954,0.022477247,0.03737414,8334.349,8.220411,-0.07354152,-0.18350387,0,0
2024-09-18 18:20:12,9.417934,89.88938,0.02256764,0.018951476,8341.247,8.240894,-0.06938863,-0.18906146,0,0
2024-09-18 19:20:12,9.429648,90.04141,0.022656722,0.00108623,8348.043,8.261066,-0.06534517,-0.19436312,0,0
2024-09-18 20:20:12,9.440482,90.191986,0.022744514,-0.01624102,8354.735,8.280904,-0.06141019,-0.19941986,0,0
2024-09-18 21:20:12,9.450468,90.34111,0.022831047,-0.033049002,8361.323,8.3003845,-0.057582498,-0.20424199,0,0
2024-09-18 22:20:12,9.459632,90.48871,0.022916349,-0.049355686,8367.804,8.319485,-0.053860903,-0.20884007,0,0
2024-09-18 23:20:12,9.468004,90.63477,0.023000423,-0.06517864,8374.177,8.338194,-0.050243735,-0.21322387,0,0
2024-09-19 00:20:12,9.475617,90.77926,0.02308331,-0.08053507,8380.44,8.356495,-0.046729684,-0.21740347,0,0
2024-09-19 01:20:12,9.482502,90.92216,0.023165004,-0.09544139,8386.595,8.374375,-0.04331708,-0.22138828,0,0
2024-09-19 02:20:12,9.488685,91.063416,0.02324555,-0.10991447,8392.638,8.391827,-0.040004253,-0.22518742,0,0
2024-09-19 03:20:12,9.494196,91.20303,0.023324931,-0.12396888,8398.568,8.408839,-0.036789417,-0.2288099,0,0
2024-09-19 04:20:12,9.499065,91.34096,0.023403186,-0.13762008,8404.387,8.425405,-0.033670783,-0.23226416,0,0
2024-09-19 05:20:12,9.503318,91.477196,0.023480307,-0.15088226,8410.093,8.441521,-0.030646205,-0.23555863,0,0
2024-09-19 06:20:12,9.506987,91.6117,0.023556339,-0.1637692,8415.686,8.457186,-0.027714014,-0.23870087,0,0
2024-09-19 07:20:12,9.510096,91.744484,0.023631264,-0.1762939,8421.166,8.472395,-0.024872184,-0.2416985,0,0
2024-09-19 08:20:12,9.51267,91.87549,0.02370511,-0.18846934,8426.532,8.487149,-0.02211845,-0.24455893,0,0
2024-09-19 09:20:12,9.514737,92.004745,0.023777861,-0.20030762,8431.785,8.501448,-0.019451022,-0.2472887,0,0
2024-09-19 10:20:12,9.516321,92.13221,0.023849564,-0.2118202,8436.926,8.515296,-0.016867757,-0.24989462,0,0
2024-09-19 11:20:12,9.5174465,92.25789,0.023920188,-0.22301836,8441.953,8.528692,-0.014366388,-0.2523828,0,0
